11/25-06:44:37.306055  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1025
11/25-06:44:37.306082  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:256
11/25-06:44:37.306108  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1234
11/25-06:44:37.306133  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:900
11/25-06:44:37.308991  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1583
11/25-06:44:37.309029  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:902
11/25-06:44:37.313056  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1719
11/25-06:44:37.313092  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:6565
11/25-06:44:37.313117  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:10025
11/25-06:44:37.313143  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:61900
11/25-06:44:37.313170  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1974
11/25-06:44:37.313199  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1417
11/25-06:44:37.313223  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:7001
11/25-06:44:37.313247  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:3878
11/25-06:44:37.313272  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:8192
11/25-06:44:37.313301  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1147
11/25-06:44:37.313326  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1039
11/25-06:44:37.313350  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:3827
11/25-06:44:37.313374  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:43
11/25-06:44:37.313403  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:2301
11/25-06:44:37.313428  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:10082
11/25-06:44:37.313452  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:11967
11/25-06:44:37.313477  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:84
11/25-06:44:37.313502  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1984
11/25-06:44:37.313526  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1862
11/25-06:44:37.313554  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:32777
11/25-06:44:37.313639  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:55056
11/25-06:44:37.313668  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:2100
11/25-06:44:37.313700  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1151
11/25-06:44:37.313730  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:64623
11/25-06:44:37.313760  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1186
11/25-06:44:37.313790  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:5080
11/25-06:44:37.313815  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:144
11/25-06:44:37.313844  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:161
11/25-06:44:37.313873  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:4224
11/25-06:44:37.313899  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:5280
11/25-06:44:37.313929  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:14442
11/25-06:44:37.313985  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:52848
11/25-06:44:37.314015  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:32
11/25-06:44:37.314042  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:5822
11/25-06:44:37.314072  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:9917
11/25-06:44:37.314099  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:8193
11/25-06:44:37.314127  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:2005
11/25-06:44:37.314154  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:20000
11/25-06:44:37.314181  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:992
11/25-06:44:37.314207  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:49175
11/25-06:44:37.314239  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:3766
11/25-06:44:37.314262  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:9929
11/25-06:44:37.317554  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:16018
11/25-06:44:37.317607  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1247
11/25-06:44:37.317643  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:1198
11/25-06:44:37.317696  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:16993
11/25-06:44:37.317737  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:51493
11/25-06:44:37.317781  [**] [1:1000002:1] [LAB] TCP SYN Scan Detected [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.100.20:37501 -> 192.168.100.10:5050
